 Ge  P   S  
   2   2   6
Direct
  0.0000463687739180  0.0000131936535174  0.5001973882374620
  0.3332985504527112  0.6666774479906540  0.4998372172991453
  0.6666798611259959  0.3333433413551702  0.4395949959231514
  0.6666594234834845  0.3333355024462092  0.5603956441259033
  0.3569018902381205  0.0238056900483993  0.4086133326135908
  0.9763472590603839  0.3331142775231878  0.4086783876296057
  0.6668659035975798  0.6430554744320863  0.4086264913279748
  0.9764832538068207  0.6428012149278828  0.5913974685493572
  0.3570613340528929  0.3336803263858578  0.5913319183073015
  0.6663559093002590  0.0235745271245137  0.5913833613548752
