 In  P   S  
   2   2   6
Direct
  0.0002466530696746  0.0001973427007741  0.4996011551526262
  0.3331874666601023  0.6665183672313537  0.5005618681434730
  0.6667339352201970  0.3334089316058569  0.4378534682415391
  0.6666579643255859  0.3333666274996916  0.5620527072490916
  0.3429951738187449  0.0694792786567047  0.4044570071133891
  0.9307715918953738  0.2737739652823983  0.4044329281432149
  0.7262054304251353  0.6568935542936395  0.4044468129673487
  0.9293894593887405  0.6575748038321544  0.5954477339427042
  0.3422133418411739  0.2716006540141579  0.5954226148415023
  0.7282868834081306  0.0705911148194490  0.5953358148026513
