 Sc  N   O  
   4   3   2
Direct
  0.3333333333333346  0.6666666666666663  0.4455095547683595
  0.6666666666666670  0.3333333333333334  0.5543966581058251
  0.0000000000000003  0.0000000000000003  0.3354687220313536
  0.0000000000000006  0.0000000000000006  0.6644380023480492
  0.0000000000000005  0.0000000000000005  0.4999476984296634
  0.6666666666666669  0.3333333333333333  0.3987678073029247
  0.3333333333333349  0.6666666666666665  0.6011341568976237
  0.6666666666666671  0.3333333333333336  0.6948806739959263
  0.3333333333333346  0.6666666666666663  0.3050274155122712
