 Ti  N   F  
   4   3   2
Direct
  0.3333333333333348  0.6666666666666665  0.4486828505723987
  0.6666666666666670  0.3333333333333336  0.5513108518189471
  0.0000000000000004  0.0000000000000004  0.3557472287640921
  0.0000000000000006  0.0000000000000006  0.6442381943258642
  0.0000000000000005  0.0000000000000005  0.5000046682913754
  0.6666666666666670  0.3333333333333334  0.3997064706727552
  0.3333333333333349  0.6666666666666667  0.6002754035674887
  0.6666666666666671  0.3333333333333338  0.6959391219734034
  0.3333333333333347  0.6666666666666665  0.3040361664278905
