 Zr  N   O  
   4   3   2
Direct
  0.3333333333333344  0.6666666666666669  0.4473631430575247
  0.6666666666666674  0.3333333333333337  0.5526244343128942
  0.0000000000000003  0.0000000000000003  0.3394564346058280
  0.0000000000000006  0.0000000000000006  0.6605215977847685
  0.0000000000000005  0.0000000000000005  0.4999990731347711
  0.6666666666666670  0.3333333333333335  0.3917394783319786
  0.3333333333333346  0.6666666666666671  0.6082446509239472
  0.6666666666666674  0.3333333333333339  0.6993916212905702
  0.3333333333333343  0.6666666666666669  0.3005832812633927
